City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Coquimbo,CL,2022-07-17 22:27:47,-29.9533,-71.3436,56.93,71,0,9.22
134,Mimongo,GA,2022-07-17 22:28:12,-1.6195,11.6068,70.29,78,61,4.29
135,San Fernando,PH,2022-07-17 22:28:12,15.0286,120.6898,80.33,93,91,2.01
136,Nazca,PE,2022-07-17 22:28:13,-14.8333,-74.95,74.61,39,2,5.86
137,Broome,US,2022-07-17 22:28:13,42.2506,-75.833,84.24,57,0,8.05
138,Buta,CD,2022-07-17 22:28:14,2.7858,24.73,70.29,99,57,0.47
139,Talnakh,RU,2022-07-17 22:28:15,69.4865,88.3972,54.21,65,96,0.69
140,Namibe,AO,2022-07-17 22:28:15,-15.1961,12.1522,64.53,83,6,2.53
141,Lashio,MM,2022-07-17 22:28:16,22.9333,97.75,68.72,99,94,1.72
142,Dongdu,CN,2022-07-17 22:28:16,35.85,117.7,72.73,91,29,1.21
143,Sitka,US,2022-07-17 22:28:16,57.0531,-135.33,57.09,82,100,8.05
144,Bengkulu,ID,2022-07-17 22:28:17,-3.8004,102.2655,75.2,87,47,4.61
145,Caxito,AO,2022-07-17 22:28:17,-8.5785,13.6643,66.47,96,38,2.01
146,Nobres,BR,2022-07-17 22:28:18,-14.7203,-56.3275,80.33,45,0,6.55
147,Siirt,TR,2022-07-17 22:28:18,37.9326,41.9403,80.49,20,0,3.83
148,Muros,ES,2022-07-17 22:28:19,42.7762,-9.0603,73.17,93,62,0.81
149,Norman Wells,CA,2022-07-17 22:28:19,65.282,-126.8329,77.04,38,75,8.05
150,Vao,NC,2022-07-17 22:28:20,-22.6667,167.4833,71.53,74,99,20.67
151,Padang,ID,2022-07-17 22:28:20,-0.9492,100.3543,69.85,76,15,4.16
152,Tuatapere,NZ,2022-07-17 22:28:21,-46.1333,167.6833,52.52,83,90,15.64
153,Olafsvik,IS,2022-07-17 22:28:21,64.8945,-23.7142,50.74,86,94,5.03
154,Cherskiy,RU,2022-07-17 22:24:20,68.75,161.3,40.28,55,98,16.35
155,Qaqortoq,GL,2022-07-17 22:28:22,60.7167,-46.0333,45.23,80,88,6.69
156,Saint-Joseph,RE,2022-07-17 22:28:22,-21.3667,55.6167,66.58,75,34,14.92
157,Arraial Do Cabo,BR,2022-07-17 22:28:23,-22.9661,-42.0278,71.46,88,0,6.91
158,Tuktoyaktuk,CA,2022-07-17 22:28:23,69.4541,-133.0374,66.2,59,75,12.66
159,Dalbeattie,GB,2022-07-17 22:28:24,54.9328,-3.8227,68.83,84,100,5.44
160,Santiago De Cao,PE,2022-07-17 22:28:24,-7.9589,-79.2392,62.73,77,3,11.5
161,Ponta Do Sol,PT,2022-07-17 22:28:25,32.6667,-17.1,72.72,83,14,5.91
162,Hasaki,JP,2022-07-17 22:28:25,35.7333,140.8333,79.29,86,99,7.31
163,Gaptsakh,RU,2022-07-17 22:28:25,41.4517,47.9303,66.79,52,0,7.07
164,Airai,TL,2022-07-17 22:28:26,-8.9266,125.4092,52.95,88,39,3.56
165,Grindavik,IS,2022-07-17 22:28:26,63.8424,-22.4338,49.95,93,100,4.61
166,Vila Velha,BR,2022-07-17 22:28:27,-20.3297,-40.2925,75.15,87,0,14.97
167,Dunedin,NZ,2022-07-17 22:27:06,-45.8742,170.5036,56.07,63,100,12.41
168,Souillac,MU,2022-07-17 22:28:27,-20.5167,57.5167,68.38,77,20,14.97
