City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Qaanaaq,GL,77.484,-69.3632,40.75,80,100,6.76,overcast clouds
139,Aykhal,RU,66.0,111.5,53.78,75,100,5.21,overcast clouds
140,Lagoa,PT,39.05,-27.9833,70.75,84,10,5.5,clear sky
141,Polovinnoye,RU,54.7914,65.9864,64.44,75,3,12.59,clear sky
142,Atuona,PF,-9.8,-139.0333,77.59,76,35,15.55,scattered clouds
143,Moroto,UG,2.5345,34.6666,61.38,82,80,5.35,broken clouds
144,Fairbanks,US,64.8378,-147.7164,67.6,56,75,5.75,broken clouds
145,Nivala,FI,63.9167,24.9667,56.68,65,73,4.03,broken clouds
146,Tuxpan,MX,19.55,-103.4,67.42,96,31,3.33,scattered clouds
147,At-Bashi,KG,41.1702,75.8106,76.62,20,0,5.21,clear sky
148,Wanning,CN,18.8003,110.3967,83.73,84,15,14.23,few clouds
149,Lumberton,US,34.6182,-79.0086,80.91,79,53,9.15,broken clouds
150,Svetlyy,RU,54.675,20.1347,65.97,69,1,6.62,clear sky
151,Fare,PF,-16.7,-151.0167,77.11,73,9,11.97,light rain
152,Itaueira,BR,-7.6033,-43.0256,73.65,63,22,8.61,few clouds
153,Mahebourg,MU,-20.4081,57.7,71.26,94,75,20.71,light intensity shower rain
154,Belmonte,BR,-15.8631,-38.8828,70.54,85,19,7.43,few clouds
155,Omsukchan,RU,62.5333,155.8,54.21,42,100,8.75,overcast clouds
156,Micheweni,TZ,-4.9667,39.8333,73.49,81,61,14.76,light rain
157,Airai,TL,-8.9266,125.4092,71.26,59,60,3.62,broken clouds
158,Riyadh,SA,24.6877,46.7219,93.34,10,28,7.34,scattered clouds
159,Barrow,US,71.2906,-156.7887,46.42,76,0,13.8,clear sky
160,Mishan,CN,45.55,131.8833,77.34,76,51,5.21,broken clouds
161,Nabire,ID,-3.3667,135.4833,85.98,63,92,5.14,overcast clouds
162,Uwajima,JP,33.2238,132.56,84.51,76,100,3.38,overcast clouds
163,Nemuro,JP,43.3236,145.575,60.55,86,56,9.95,broken clouds
164,Beidao,CN,34.5686,105.8933,83.08,49,24,13.06,few clouds
165,Elliot,ZA,-31.3333,27.85,46.6,58,60,4.61,broken clouds
166,Bubaque,GW,11.2833,-15.8333,77.45,86,100,12.35,light rain
167,Punta Arenas,CL,-53.15,-70.9167,32.11,80,20,18.41,few clouds
168,Salta,AR,-24.7859,-65.4117,50.59,66,0,6.91,clear sky
169,Sarkand,KZ,45.41,79.9186,89.53,8,0,5.84,clear sky
170,Krasnoselkup,RU,65.7,82.4667,57.52,65,99,3.42,overcast clouds
171,Batagay,RU,67.6333,134.6333,61.09,51,100,2.04,overcast clouds
172,Banikoara,BJ,11.2985,2.4386,73.85,84,100,4.05,overcast clouds
173,Yarmouth,US,41.7057,-70.2286,77.11,89,0,12.66,clear sky
174,Leighton Buzzard,GB,51.9172,-0.658,60.66,86,83,8.46,broken clouds
175,Saldanha,ZA,-33.0117,17.9442,49.01,76,1,7.18,clear sky
176,Darhan,MN,49.4867,105.9228,67.73,53,100,10.45,light rain
177,Bundu,IN,23.1833,85.5833,88.02,69,100,1.45,overcast clouds
178,Thompson,CA,55.7435,-97.8558,59.16,88,40,8.05,scattered clouds
179,Kruisfontein,ZA,-34.0033,24.7314,47.88,92,4,7.34,clear sky
180,Mecca,SA,21.4267,39.8261,82.69,63,47,6.13,scattered clouds
181,Ulaanbaatar,MN,47.9077,106.8832,80.73,32,40,6.71,scattered clouds
182,Leningradskiy,RU,69.3833,178.4167,32.99,97,100,20.71,light snow
183,Amarante Do Maranhao,BR,-5.5667,-46.7422,71.29,53,18,2.95,few clouds
184,Hambantota,LK,6.1241,81.1185,84.07,71,92,17.43,overcast clouds
185,Port Hedland,AU,-20.3167,118.5667,86.05,19,6,3.44,clear sky
186,Saint-Louis,SN,16.3333,-15.0,78.93,73,85,10.98,light rain
187,Teseney,ER,15.11,36.6575,71.91,79,97,10.89,overcast clouds
188,Cockburn Town,TC,21.4612,-71.1419,82.08,80,2,21.65,clear sky
189,Samsun,TR,41.25,36.3333,70.0,63,40,2.3,scattered clouds
190,Kirando,TZ,-7.4167,30.6,71.44,54,78,6.53,broken clouds
191,Rameswaram,IN,9.2833,79.3,81.39,85,25,12.08,scattered clouds
192,Arahal,ES,37.1864,-5.5549,75.92,63,0,0.94,clear sky
193,Lamar,US,33.6668,-95.5836,91.31,46,0,8.05,clear sky
194,Norman Wells,CA,65.282,-126.8329,71.64,49,75,2.3,broken clouds
195,Gao,ML,16.6362,1.637,82.4,63,35,17.83,scattered clouds
196,Bairiki,KI,1.3292,172.9752,84.2,79,75,8.05,broken clouds
197,Uchiza,PE,-8.4592,-76.4633,71.33,78,64,2.8,broken clouds
198,Solnechnyy,RU,50.7214,136.6319,58.89,96,100,5.77,overcast clouds
199,Swan Hill,AU,-35.3378,143.5544,62.46,47,23,13.94,few clouds
200,Richards Bay,ZA,-28.783,32.0377,60.58,88,17,4.52,few clouds
201,Jaisinghnagar,IN,23.7,81.3833,82.74,73,100,6.26,overcast clouds
202,Guerrero Negro,MX,27.9769,-114.0611,70.16,76,14,15.61,few clouds
203,Libertador General San Martin,AR,-23.8064,-64.7876,62.04,64,55,2.57,broken clouds
204,Namibe,AO,-15.1961,12.1522,64.09,68,0,5.57,clear sky
205,Alta Floresta,BR,-9.8756,-56.0861,68.61,51,0,1.07,clear sky
206,Klaksvik,FO,62.2266,-6.589,49.12,91,79,17.74,broken clouds
207,East London,ZA,-33.0153,27.9116,56.34,100,20,8.05,few clouds
208,Kutum,SD,14.2,24.6667,73.74,64,59,4.36,broken clouds
209,Aljezur,PT,37.3191,-8.8033,66.9,63,0,7.34,clear sky
210,Taltal,CL,-25.4,-70.4833,56.77,88,100,1.5,overcast clouds
211,Qaqortoq,GL,60.7167,-46.0333,45.77,98,63,5.99,broken clouds
212,Calvinia,ZA,-31.4707,19.776,39.9,75,0,3.27,clear sky
213,Asau,RO,46.4333,26.4,67.28,75,0,3.53,clear sky
214,Martapura,ID,-3.4167,114.85,91.49,58,40,4.61,scattered clouds
215,Kidal,ML,18.4411,1.4078,79.9,57,93,13.27,overcast clouds
216,Kencong,ID,-8.2833,113.3667,80.89,69,53,8.34,broken clouds
217,Lazaro Cardenas,MX,17.9583,-102.2,80.46,89,18,3.0,few clouds
218,Mahajanga,MG,-15.7167,46.3167,64.42,77,20,6.91,few clouds
219,Gazanjyk,TM,39.2446,55.5154,87.08,53,0,10.38,clear sky
220,Mastic Beach,US,40.7668,-72.8521,80.8,87,0,8.99,clear sky
221,Castlegar,CA,49.2998,-117.6689,73.29,43,0,3.78,clear sky
222,Bathsheba,BB,13.2167,-59.5167,83.01,95,40,19.57,scattered clouds
223,Grand-Santi,GF,4.25,-54.3833,71.1,99,65,2.13,broken clouds
224,Eyl,SO,7.9803,49.8164,78.39,57,41,19.84,scattered clouds
225,Ransang,PH,8.9603,117.5828,86.61,65,97,6.15,overcast clouds
226,Lodingen,NO,68.414,15.9951,57.38,97,100,4.03,overcast clouds
227,Ginda,IN,30.6945,78.4932,72.97,82,91,4.34,overcast clouds
228,Gimli,CA,50.6336,-96.9907,64.53,73,0,13.38,clear sky
229,Mar Del Plata,AR,-38.0023,-57.5575,54.88,68,0,17.27,clear sky
230,Gat,IL,31.61,34.7642,77.68,100,1,3.47,clear sky
231,Dingle,PH,10.9995,122.6711,87.66,67,100,4.34,moderate rain
232,Cairns,AU,-16.9167,145.7667,88.07,65,40,12.66,scattered clouds
233,Antonovo,BG,43.15,26.1667,52.57,38,0,3.22,clear sky
234,Raduzhnyy,RU,62.0961,77.475,64.51,53,70,3.76,broken clouds
235,Robertsport,LR,6.7533,-11.3686,76.41,79,100,14.99,overcast clouds
236,Te Anau,NZ,-45.4167,167.7167,42.98,86,94,2.62,overcast clouds
237,Rio Grande,BR,-32.035,-52.0986,57.94,93,37,13.0,scattered clouds
238,Tuatapere,NZ,-46.1333,167.6833,46.2,82,100,4.85,overcast clouds
239,Srednekolymsk,RU,67.45,153.6833,59.29,46,35,6.04,scattered clouds
240,Salalah,OM,17.0151,54.0924,75.29,100,100,6.91,mist
241,Ostrovnoy,RU,68.0531,39.5131,52.2,84,24,3.38,few clouds
242,Koslan,RU,63.4564,48.8989,68.25,62,39,5.93,scattered clouds
243,Muhoroni,KE,-0.1541,35.1988,60.01,87,44,3.31,scattered clouds
244,Blackwater,AU,-23.5833,148.8833,62.29,75,95,12.12,overcast clouds
245,Port Lincoln,AU,-34.7333,135.8667,55.94,62,25,16.53,scattered clouds
246,Nikolskoye,RU,59.7035,30.7861,68.88,79,6,7.72,clear sky
247,Constantine,DZ,36.365,6.6147,63.81,77,0,2.3,clear sky
248,Xacmaz,AZ,41.4635,48.806,77.83,55,2,12.5,clear sky
249,Nantucket,US,41.2835,-70.0995,77.11,98,0,6.91,mist
250,Ancud,CL,-41.8697,-73.8203,40.23,64,62,12.48,broken clouds
251,Yulara,AU,-25.2406,130.9889,66.24,24,6,10.74,clear sky
252,Haines Junction,CA,60.7522,-137.5108,52.3,61,73,6.4,broken clouds
253,Fort Nelson,CA,58.8053,-122.7002,67.59,49,75,3.44,broken clouds
254,Dalby,AU,-27.1833,151.2667,54.68,88,100,15.28,overcast clouds
255,Hovd,MN,48.0056,91.6419,66.04,33,2,3.76,clear sky
256,Baoro,CF,5.6667,15.9667,65.95,98,82,2.37,broken clouds
257,Provideniya,RU,64.3833,-173.3,44.71,70,75,20.13,broken clouds
258,Payo,ID,-3.7508,103.6372,88.54,58,14,2.19,few clouds
259,Smithers,CA,54.7804,-127.1743,64.72,48,20,2.3,few clouds
260,Victoria,HK,22.2855,114.1577,93.25,99,10,9.24,clear sky
261,Nouadhibou,MR,20.931,-17.0347,67.62,96,1,13.44,clear sky
262,Meulaboh,ID,4.1363,96.1285,84.27,62,100,2.33,light rain
263,Ornskoldsvik,SE,63.2909,18.7153,56.35,100,100,2.3,fog
264,Illapel,CL,-31.6308,-71.1653,54.01,77,0,1.95,clear sky
265,Vostok,RU,46.4856,135.8833,68.23,91,90,2.95,overcast clouds
